Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
2022-03-27,17557.5342,11407.5342,5316.5342,12241.00,6091.00
2022-03-28,25936.5672,9512.5672,3879.5672,22057.00,5633.00
2022-03-29,15051.1097,10565.1097,3367.1097,11684.00,7198.00
2022-03-30,35147.2153,15913.2153,8137.2153,27010.00,7776.00
2022-03-31,17861.8711,11177.8711,5007.8711,12854.00,6170.00
2022-04-01,28829.9686,11253.9686,4810.9686,24019.00,6443.00
2022-04-02,28082.6089,10395.6089,3465.6089,24617.00,6930.00
2022-04-03,36819.8925,13349.8925,7976.8925,28843.00,5373.00
2022-04-04,41729.3339,15819.3339,9971.3339,31758.00,5848.00
2022-04-05,36663.5228,13140.5228,6779.5228,29884.00,6361.00
2022-04-06,7577.8139,8511.8139,2543.8139,5034.00,5968.00
2022-04-07,7055.3947,14810.3947,3626.3947,3429.00,11184.00
2022-04-08,18962.4367,12166.4367,4704.4367,14258.00,7462.00
2022-04-09,23453.11,13438.11,7093.11,16360.00,6345.00
2022-04-10,31642.8575,8248.8575,3470.8575,28172.00,4778.00
2022-04-11,37707.8242,8885.8242,3439.8242,34268.00,5446.00
2022-04-12,33683.5447,11736.5447,4758.5447,28925.00,6978.00
2022-04-13,27863.5317,10727.5317,4942.5317,22921.00,5785.00
2022-04-14,33504.7953,12647.7953,5785.7953,27719.00,6862.00
2022-04-15,36284.2094,15842.2094,7268.2094,29016.00,8574.00
2022-04-16,20982.8728,17943.8728,9314.8728,11668.00,8629.00
2022-04-17,32506.8456,13492.8456,5811.8456,26695.00,7681.00
2022-04-18,33000.2286,12771.2286,4384.2286,28616.00,8387.00
2022-04-19,33621.7592,17898.7592,10262.7592,23359.00,7636.00
2022-04-20,33142.48,14354.48,7653.48,25489.00,6701.00
2022-04-21,18679.7917,13212.7917,5500.7917,13179.00,7712.00
2022-04-22,13919.2786,14412.2786,5649.2786,8270.00,8763.00
2022-04-23,25106.3847,18741.3847,9562.3847,15544.00,9179.00
2022-04-24,32267.4228,17633.4228,9872.4228,22395.00,7761.00
2022-04-25,20124.6114,19828.6114,10235.6114,9889.00,9593.00
2022-04-26,13951.5861,11683.5861,4809.5861,9142.00,6874.00
2022-04-27,7611.5419,19049.5419,5063.5419,2548.00,13986.00
2022-04-28,12845.7261,17251.7261,7035.7261,5810.00,10216.00
2022-04-29,22608.7592,16351.7592,6249.7592,16359.00,10102.00
2022-04-30,6632.8317,14453.8317,3328.8317,3304.00,11125.00
2022-05-01,29008.0533,13182.0533,5497.0533,23511.00,7685.00
2022-05-02,25312.2347,14488.2347,7373.2347,17939.00,7115.00
2022-05-03,29190.0992,14170.0992,7541.0992,21649.00,6629.00
2022-05-04,27191.2233,17702.2233,7926.2233,19265.00,9776.00
2022-05-05,19386.0539,14076.0539,4243.0539,15143.00,9833.00
2022-05-06,29383.4978,12822.4978,2795.4978,26588.00,10027.00
2022-05-07,27584.0392,45917.0392,14866.0392,12718.00,31051.00
2022-05-08,27483.5186,41570.5186,9838.5186,17645.00,31732.00
2022-05-09,14457.9692,28261.9692,7465.9692,6992.00,20796.00
2022-05-10,21408.4389,10427.4389,2170.4389,19238.00,8257.00
2022-05-11,6676.5211,15963.5211,3210.5211,3466.00,12753.00
2022-05-12,7235.9725,13420.9725,4437.9725,2798.00,8983.00
2022-05-13,10601.6317,15777.6317,1785.6317,8816.00,13992.00
2022-05-14,17960.7975,12152.7975,5082.7975,12878.00,7070.00
2022-05-15,12949.5558,10054.5558,2519.5558,10430.00,7535.00
2022-05-16,24364.5394,11402.5394,2618.5394,21746.00,8784.00
2022-05-17,24832.0736,22354.0736,3201.0736,21631.00,19153.00
2022-05-18,24238.6903,22648.6903,3129.6903,21109.00,19519.00
2022-05-19,22480.7644,30839.7644,6627.7644,15853.00,24212.00
2022-05-20,12812.0189,28107.0189,9584.0189,3228.00,18523.00
2022-05-21,11255.8675,24952.8675,6361.8675,4894.00,18591.00
2022-05-22,13970.1511,23847.1511,6208.1511,7762.00,17639.00
2022-05-23,9651.2192,15254.2192,3734.2192,5917.00,11520.00
2022-05-24,14273.2972,21494.2972,7825.2972,6448.00,13669.00
2022-05-25,18808.0192,23328.0192,8315.0192,10493.00,15013.00
2022-05-26,20639.51,23115.51,11374.51,9265.00,11741.00
2022-05-27,20673.0294,9541.0294,4168.0294,16505.00,5373.00
2022-05-28,17938.5214,16537.5214,4024.5214,13914.00,12513.00
2022-05-29,21260.6331,23785.6331,2612.6331,18648.00,21173.00
2022-05-30,8450.2867,30150.2867,6775.2867,1675.00,23375.00
2022-05-31,20315.3983,29954.3983,4605.3983,15710.00,25349.00
2022-06-01,21470.3489,39179.3489,8050.3489,13420.00,31129.00
2022-06-02,18338.4942,32197.4942,10013.4942,8325.00,22184.00
2022-06-03,14444.0794,22046.0794,4389.0794,10055.00,17657.00
2022-06-04,20041.4544,26386.4544,8692.4544,11349.00,17694.00
2022-06-05,17262.3261,29276.3261,11037.3261,6225.00,18239.00
2022-06-06,20059.8897,34180.8897,10430.8897,9629.00,23750.00
2022-06-07,20805.0544,28335.0544,7806.0544,12999.00,20529.00
2022-06-08,19824.8403,29062.8403,5745.8403,14079.00,23317.00
2022-06-09,19345.7058,43160.7058,11638.7058,7707.00,31522.00
2022-06-10,19200.0769,39644.0769,10846.0769,8354.00,28798.00
2022-06-11,19328.4008,13277.4008,1912.4008,17416.00,11365.00
